Cantidad_de_elementos,Media_de_tiempo_de_ejecucion,Resultado_minimo_encontrado
4,0.06659825642903645,1332642
5,0.0697771708170573,1970926
6,0.21537144978841147,4278266
7,0.1281102498372396,2182815
8,1.211722691853841,2610987
9,12.763579686482748,5993077
10,43.63703727722168,6273483
11,50.97715059916178,7400426
12,31.470537185668945,7773266
13,242.5366242726644,7678766
14,1696.165959040324,12809254
15,2729.4283707936606,14394452
16,38721.8222618103,19833663
17,14481.152693430582,15657866
18,312371.54428164166,16491722
