Cantidad_de_elementos,Media_de_tiempo_de_ejecucion,Resultado_minimo_encontrado
4,0.024843215942382812,1332642
5,0.018596649169921875,1970926
6,0.021600723266601562,4278266
7,0.026702880859375,2182815
8,0.03161430358886719,2615787
9,0.03800392150878906,6004715
10,0.04267692565917969,6274169
11,0.04858970642089844,7428186
12,0.05340576171875,7778158
13,0.05965232849121094,7681330
14,0.06432533264160156,12811244
15,0.07138252258300781,14408414
16,0.07495880126953125,19834535
17,0.08692741394042969,15673534
18,0.08630752563476562,16492774
