Cantidad_de_elementos,Media_de_tiempo_de_ejecucion,Resultado_minimo_encontrado
4,0.03294944763183594,1332642
5,0.0316619873046875,2129290
6,0.032138824462890625,4467214
7,0.03609657287597656,2503363
8,0.03848075866699219,2873305
9,0.042629241943359375,6457151
10,0.04305839538574219,6808993
11,0.0461578369140625,7605774
12,0.04730224609375,8054044
13,0.05130767822265625,7991062
14,0.050830841064453125,13159226
15,0.048828125,14702206
16,0.050449371337890625,20195561
17,0.05488395690917969,15938742
18,0.05950927734375,16623052
