Cantidad_de_elementos,Media_de_tiempo_de_ejecucion,Resultado_minimo_encontrado
4,27.669747670491535,1332642
5,166.0354932149251,1970926
6,256.27708435058594,4278266
7,138.31138610839838,2182815
8,361.1281712849935,2613921
9,716.2521680196126,5995185
10,774.8652299245198,6273483
11,1803.9083480834965,7400426
12,1815.2379989624023,7773266
13,4109.819253285726,7678766
14,8038.428386052448,12809254
15,56357.37880071005,14394452
16,119592.67354011534,19833663
17,355884.3951225281,15657866
18,2442199.5873451233,16491722
